feature,is_clinical
CLEC3A,False
CPB1,False
SCGB2A2,False
SCGB1D2,False
TFF1,False
MUCL1,False
GSTM1,False
PIP,False
ADIPOQ,False
ADH1B,False
HMGCS2,False
S100A7,False
CYP2B7P1,False
ANKRD30A,False
TAT,False
PRAME,False
CYP4Z1,False
SERPINA6,False
AGR3,False
UGT2B11,False
TFAP2B,False
MUC6,False
KCNJ3,False
DHRS2,False
MYBPC1,False
KRT14,False
C4orf7,False
SLC30A8,False
GABRP,False
SOX10,False
STAC2,False
KRT5,False
VSTM2A,False
COL2A1,False
CEACAM5,False
TUSC5,False
CALML5,False
GP2,False
GSTT1,False
FABP7,False
C1orf64,False
KRT6B,False
CRABP1,False
LEP,False
MUC5B,False
PIGR,False
SYT13,False
LTF,False
TFF3,False
FABP4,False
GRIA2,False
CST1,False
CIDEC,False
KLK11,False
KLK5,False
OLFM4,False
BMPR1B,False
CST9,False
HOXB13,False
CEACAM6,False
SLC34A2,False
CYP2A6,False
TCN1,False
CLCA2,False
LRP2,False
KRT17,False
AGR2,False
ABCC11,False
DSG3,False
PROM1,False
C20orf114,False
CRISP3,False
ELF5,False
NPY1R,False
KCNC2,False
KRT6A,False
CP,False
KIF1A,False
PVALB,False
MUC16,False
OBP2B,False
CGA,False
GFRA1,False
CYP4F8,False
TNNT1,False
PGR,False
AQP5,False
PLIN1,False
GPD1,False
KRT16,False
BPIL1,False
VGLL1,False
KLK6,False
MSLN,False
KLK7,False
KRT81,False
SERPINA11,False
FAM5C,False
SLC5A8,False
WIF1,False
NLRP2,False
CBLN2,False
SLC6A14,False
CIDEA,False
KLK10,False
EEF1A2,False
CA9,False
PI16,False
A2ML1,False
ALB,False
COL17A1,False
MMP1,False
PTPRT,False
LBP,False
CALML3,False
PPP1R1B,False
SFRP1,False
MUC15,False
DCD,False
CYP4Z2P,False
BEX1,False
C7,False
SCGB2A1,False
S100P,False
NXPH1,False
CNTNAP2,False
LRRC31,False
PPP2R2C,False
SCGB3A1,False
SLC6A4,False
ORM1,False
KLHDC7A,False
SLITRK6,False
RPS28,False
PROL1,False
FOLR1,False
CXCL13,False
C10orf82,False
FOXI1,False
SYT9,False
DSC3,False
ANKRD30B,False
ESR1,False
GRPR,False
MIA,False
PDZK1,False
CST5,False
IGSF1,False
PLA2G2A,False
CDC20B,False
DLK1,False
SERPINB5,False
CHAD,False
CXCL17,False
ASCL1,False
DIO1,False
SAA2,False
SORCS1,False
GLRA3,False
ROPN1,False
SLC5A1,False
MAGEA6,False
NBPF4,False
PTPRZ1,False
ABCA12,False
MUC2,False
PYDC1,False
LCN2,False
KRT15,False
CLIC6,False
WNK4,False
PEG10,False
ATP13A5,False
SAA1,False
SPAG6,False
C2orf54,False
CARTPT,False
ABCC8,False
PI3,False
CASP14,False
TMPRSS4,False
SDR16C5,False
TF,False
PPAN-P2RY11,False
NKAIN1,False
CAPN8,False
MSMB,False
CCL21,False
CAPN6,False
LRP1B,False
LY6D,False
BBOX1,False
GSTA1,False
PGLYRP2,False
CYP4F22,False
MS4A15,False
GLYATL2,False
SLC44A4,False
S100A7A,False
S100A8,False
SOSTDC1,False
SCUBE2,False
TSPAN8,False
DSG1,False
NEK10,False
KLK8,False
HS6ST3,False
NBPF6,False
SLC13A2,False
SLC7A4,False
TRH,False
PON3,False
FGB,False
ORM2,False
RIMS4,False
VTCN1,False
TRIM29,False
ROPN1B,False
S100A9,False
IL20,False
ANXA8,False
SERPINA5,False
MAGEA3,False
LPPR3,False
NCRNA00052,False
FAM3B,False
ERBB4,False
WFDC2,False
ZIC1,False
INSM1,False
ABCC13,False
ATP6V0A4,False
PKP1,False
HGD,False
C16orf89,False
LOC728606,False
ROBO2,False
SLC9A2,False
TMC5,False
TRPA1,False
ALOX15B,False
CCL19,False
FOXJ1,False
WDR72,False
DARC,False
SYTL5,False
ELOVL2,False
HOTAIR,False
AGTR1,False
FOXA1,False
NCCRP1,False
HEPACAM2,False
ACTL8,False
FREM2,False
CHST8,False
KNDC1,False
CYP4B1,False
GPR98,False
CHGB,False
SLC7A2,False
SLPI,False
CR2,False
TTYH1,False
TMPRSS6,False
BCAS1,False
FAM5B,False
SPDYC,False
FAM196A,False
NAT1,False
SYT1,False
FSIP1,False
HORMAD1,False
PPP4R4,False
FLJ45983,False
VSIG2,False
GLDC,False
AKR7A3,False
CYP4X1,False
MS4A1,False
GRB14,False
CYP2A7,False
GJB1,False
MMP12,False
TRPV6,False
LRG1,False
ART3,False
C1orf173,False
PCSK1N,False
TPRG1,False
PAX7,False
NDP,False
GRIK3,False
C2CD4A,False
RGS22,False
ZIC2,False
PSCA,False
ATRNL1,False
GABRB3,False
C3orf57,False
MAPK4,False
SHISA9,False
AKR1B10,False
FGG,False
POF1B,False
ONECUT2,False
FUT3,False
PRODH,False
GPR26,False
RBM24,False
TDRD1,False
VIPR2,False
SBSN,False
CHGA,False
TLX1,False
RIMS2,False
age_at_initial_pathologic_diagnosis,True
