"feature","post_mean","post_sd","ci_025","ci_975","HR","HR_ci025","HR_ci975","prob_pos","signif"
"CCL19",-0.103861668593089,0.189949219513329,-0.483995332152846,0.268027686700464,0.901349973807672,0.616316078774829,1.30738333664468,0.2936,FALSE
"age_at_initial_pathologic_diagnosis",0.304212564535379,0.119217104132889,0.0722166926647821,0.53518809598991,1.35555716884708,1.07488823922647,1.7077694366283,0.995466666666667,TRUE
"KRT15",0.0197145148929155,0.122392882972236,-0.22581284123893,0.260151265165424,1.01991012930809,0.797867415569532,1.29712628184825,0.561533333333333,FALSE
"FABP7",-0.534516147495903,0.158639691492216,-0.849532757582999,-0.228587010082419,0.585952736264931,0.427614684997507,0.795657064005819,0.000133333333333333,TRUE
"MS4A1",-0.243042325555619,0.192236158165131,-0.622638878105523,0.138521849347421,0.784238319746463,0.536526739185664,1.14857477690536,0.0983333333333333,FALSE
"ZIC2",0.171419104689713,0.123724797435503,-0.0653457752109744,0.420185142512978,1.18698811707629,0.936743504689226,1.52224336149202,0.920333333333333,FALSE
"CLEC3A",0.203045631019117,0.127519124960972,-0.0363153271599955,0.461309411203292,1.22512837082815,0.964336164151601,1.58614954780332,0.9442,FALSE
"PIGR",-0.0404955554332046,0.130066308038473,-0.30317269488952,0.207440204701732,0.960313432679124,0.738471555094316,1.23052413508251,0.383733333333333,FALSE
"SPDYC",0.285990094539498,0.113558910239695,0.0572006279063712,0.507144999364908,1.33107927023385,1.058868227602,1.66054356799053,0.992133333333333,TRUE
"PAX7",0.108171021466396,0.112537004813187,-0.108927603960684,0.332217011051947,1.11423828775847,0.896795339578819,1.39405534110526,0.8388,FALSE
"C16orf89",-0.110680734540838,0.122721027956356,-0.363515513977395,0.107233692395751,0.895224517575231,0.695227941381928,1.11319436914379,0.185133333333333,FALSE
"GLRA3",-0.0752788611836363,0.160500287768759,-0.411854174175908,0.230027059251837,0.92748481075081,0.662420867078056,1.25863406716489,0.324933333333333,FALSE
"CLIC6",-0.055736088248943,0.146994536263642,-0.350605672731221,0.228287302536268,0.945788707710461,0.704261408586362,1.25644625377744,0.3548,FALSE
"PSCA",0.049876949997221,0.129542054547231,-0.198859691346055,0.307206468749685,1.05114174542317,0.81966489134272,1.35962165847796,0.648466666666667,FALSE
"ELOVL2",-0.107640600878,0.140534472650899,-0.382444697984058,0.168931509935344,0.89795026097968,0.682191616504945,1.18403904123632,0.223,FALSE
"NEK10",-0.130782870725109,0.187325134013725,-0.502832929470371,0.231876540672456,0.877408264730085,0.604814832688051,1.26096404144538,0.240333333333333,FALSE
"FREM2",-0.151423914714307,0.132543458490875,-0.414191923614468,0.102042572233687,0.859483273815665,0.660874101747277,1.1074306165194,0.124866666666667,FALSE
"TPRG1",-0.190198111561206,0.160033737032504,-0.521247249209767,0.106430182391403,0.826795320005537,0.59377949492153,1.11230026559008,0.113466666666667,FALSE
"WDR72",-0.146977967458863,0.128153861744152,-0.403563510572186,0.100918085346603,0.863312998185928,0.667935604479447,1.10618602520721,0.1202,FALSE
"ALOX15B",-0.393590036206495,0.161983008476014,-0.719313932035272,-0.0835828731060356,0.674630573664699,0.487086315670275,0.919814855598466,0.0062,TRUE
"NCCRP1",0.172167236471501,0.124324427690762,-0.0742059037917283,0.415514071891572,1.18787647287345,0.928480496503059,1.51514943625886,0.9228,FALSE
"FOXJ1",-0.171451135239194,0.137653793560831,-0.450363510872323,0.096760287862148,0.842441432713367,0.637396408979197,1.10159627597021,0.101333333333333,FALSE
"CYP4Z1",0.356366747623906,0.1276071855484,0.100077517103171,0.598996866750273,1.42813121596111,1.10525659104424,1.82029188890791,0.9982,TRUE
"GFRA1",-0.0743424398599668,0.161136005679421,-0.380719239580196,0.236289113138511,0.928353734080648,0.683369725859742,1.26654043071818,0.330066666666667,FALSE
